_id,id1,id2,name_name_jac_qgm_3_qgm_3,address_address_jac_qgm_3_qgm_3,city_city_jac_qgm_3_qgm_3,flavor_flavor_jac_qgm_3_qgm_3,gold
0,0,1,1.0,0.8148148148148148,1.0,0.0,1
1,0,122,0.046511627906976744,0.02,0.0,1.0,0
2,0,123,0.046511627906976744,0.025,0.0,0.4444444444444444,0
3,0,166,0.04878048780487805,0.0,0.0,0.21428571428571427,0
4,0,167,0.04878048780487805,0.023809523809523808,0.0,0.125,0
5,0,260,0.1935483870967742,0.023809523809523808,1.0,1.0,0
6,0,273,0.11864406779661017,0.023809523809523808,1.0,1.0,0
7,0,385,0.04878048780487805,0.02564102564102564,0.0,0.21428571428571427,0
8,0,422,0.1935483870967742,0.02127659574468085,0.0,1.0,0
9,0,496,0.08695652173913043,0.0,0.0,0.0,0
10,0,530,0.047619047619047616,0.02040816326530612,0.0,0.0,0
11,0,533,0.0425531914893617,0.022222222222222223,0.0,0.05263157894736842,0
12,0,749,0.05,0.024390243902439025,0.0,0.125,0
13,0,778,0.3953488372093023,0.14285714285714285,0.09090909090909091,0.0,0
14,0,807,0.10526315789473684,0.025,0.0,0.0,0
15,0,815,0.4146341463414634,0.0,0.0,0.0,0
16,1,122,0.046511627906976744,0.0196078431372549,0.0,0.0,0
17,1,123,0.046511627906976744,0.024390243902439025,0.0,0.0,0
18,1,166,0.04878048780487805,0.0,0.0,0.0,0
19,1,167,0.04878048780487805,0.023255813953488372,0.0,0.0,0
20,1,260,0.1935483870967742,0.023255813953488372,1.0,0.0,0
21,1,273,0.11864406779661017,0.023255813953488372,1.0,0.0,0
22,1,385,0.04878048780487805,0.025,0.0,0.0,0
23,1,422,0.1935483870967742,0.020833333333333332,0.0,0.0,0
24,1,496,0.08695652173913043,0.0,0.0,0.0,0
25,1,530,0.047619047619047616,0.04081632653061224,0.0,0.0,0
26,1,533,0.0425531914893617,0.021739130434782608,0.0,0.045454545454545456,0
27,1,749,0.05,0.023809523809523808,0.0,0.0,0
28,1,778,0.3953488372093023,0.1951219512195122,0.09090909090909091,1.0,0
29,1,807,0.10526315789473684,0.024390243902439025,0.0,0.0,0
