7.058823529411765163e-01,3.571428571428571230e-02,4.743589743589743946e-01,5.560000000000000000e+02,4.000000000000000000e+00,4.379000000000000000e+03,-6.156965279893801934e+00
2.500000000000000000e-01,3.157894736842105088e-01,1.000000000000000000e+00,9.260000000000000000e+02,6.000000000000000000e+00,1.042300000000000000e+04,-5.811575323561401163e+00
2.173913043478260809e-01,9.285714285714286031e-01,6.486486486486486847e-01,9.950000000000000000e+02,6.000000000000000000e+00,2.093300000000000000e+04,-4.558626867262372429e+00
0.000000000000000000e+00,5.555555555555555247e-02,3.404255319148936088e-01,2.531000000000000000e+03,1.000000000000000000e+01,2.457000000000000000e+03,-4.257638706478889645e+00
6.428571428571429047e-01,7.272727272727272929e-01,2.558139534883721034e-01,5.551000000000000000e+03,1.600000000000000000e+01,4.283000000000000000e+03,-4.211972899690936245e+00
7.058823529411765163e-01,7.058823529411765163e-01,3.734939759036143836e-01,6.689000000000000000e+03,1.600000000000000000e+01,1.781100000000000000e+04,-4.069582996358132476e+00
0.000000000000000000e+00,3.333333333333333148e-01,2.168674698795180766e-01,1.127300000000000000e+04,2.000000000000000000e+01,1.305800000000000000e+04,-3.844527242818653878e+00
1.499999999999999944e-01,7.500000000000000000e-01,5.591397849462365066e-01,1.140700000000000000e+04,2.000000000000000000e+01,1.743000000000000000e+04,-3.630534808890410137e+00
4.500000000000000111e-01,6.666666666666666297e-01,8.000000000000000444e-01,1.584200000000000000e+04,2.600000000000000000e+01,6.985000000000000000e+03,-3.518203351451368643e+00
5.000000000000000000e-01,6.666666666666666297e-01,7.468354430379746667e-01,1.642300000000000000e+04,2.700000000000000000e+01,5.380000000000000000e+02,-3.331133328284595851e+00
2.500000000000000000e-01,3.157894736842105088e-01,1.529411764705882470e-01,1.740600000000000000e+04,3.100000000000000000e+01,1.108900000000000000e+04,-3.179262145951069041e+00
2.500000000000000000e-01,3.157894736842105088e-01,1.826923076923076816e-01,1.838300000000000000e+04,3.400000000000000000e+01,1.168400000000000000e+04,-3.035934214105396212e+00
3.076923076923077094e-01,1.904761904761904656e-01,5.000000000000000000e-01,1.867600000000000000e+04,3.500000000000000000e+01,3.068000000000000000e+03,-2.998977595955870878e+00
