seq1,seq2,title_title_jac_qgm_3_qgm_3
corsair xms2 2gb 2 x 1gb pc2-6400 800mhz 240-pin ddr2 cl5 dual channel desktop memory kit - twin2x4096-6400c5c,corsair xms2 2gb 2 x 1gb pc2-6400 800mhz 240-pin ddr2 cl5 dual channel desktop memory kit - twin2x2048-6400,0.8362068965517241
birdhouse tony hawk 2gb full skull skatedrive usb flash drive,birdhouse tony hawk 16gb full skull skatedrive usb flash drive,0.8813559322033898
logitech wireless mouse m315 silver,logitech wireless mouse m310 silver,0.85
da-lite da-plex self trimming rear projection screen - 96 x 120 av format,da-lite 27578 da-plex self trimming rear projection screen - 96 x 96 av format,0.8192771084337349
microsoft wireless laser desktop 3000 keyboard and mouse combo,microsoft wireless desktop 3000 keyboard and mouse combo,0.8769230769230769
ihome wireless optical mouse black,ihome slimline wireless optical mouse black,0.8
audiosource bi5 5  in-wall construction bracket mount,audiosource bi5 5.25 in-wall construction bracket mount,0.8666666666666667
da-lite dual vision tensioned cosmopolitan electrol - av format 10 x 10 diagonal,da-lite 97991 dual vision tensioned cosmopolitan electrol - av format 10 6 x 14 diagonal,0.8222222222222222
brother tn360 black toner cartridge,brother tn330 black toner cartridge,0.8461538461538461
brother tn360 black toner cartridge,brother tn540 black toner cartridge,0.8
new york mets ipod touch 4g hard case,new york jets ipod touch 4g hard case,0.8571428571428571
buffalo technology drivestation axis 1.5 tb usb 2.0 desktop external hard drive with buffalo tools and turbo pc hd-lb1.5tu2 black,buffalo technology drivestation axis 1 tb usb 2.0 desktop external hard drive with buffalo tools and turbo pc hd-lb1.0tu2 black,0.9112903225806452
ihome app-friendly rechargeable speaker system for ipad iphone ipod,ihome app-friendly rechargeable speaker system for ipad iphone and ipod,0.9428571428571428
v7 8gb sd card secure digital high capacity 8 gb memory card,v7 4gb sd card secure digital high capacity 4 gb memory card,0.8095238095238095
birdhouse tony hawk 2gb ptero skatedrive usb flash drive,birdhouse tony hawk 16gb ptero skatedrive usb flash drive,0.8813559322033898
sentry headart extreme folding headphones black,sentry headart extreme folding headphones blue,0.82
buffalo technology linkstation duo 1 tb 2 x 500 gb network attached storage ls-wx1.0tl r1,buffalo technology linkstation duo 2 tb 2 x 1 tb network attached storage ls-wx2.0tl r1,0.8247422680412371
scosche 1993-up select subaru power 4-speaker connector,scosche su03rb 1993-up select subaru power 4-speaker connector,0.8709677419354839
innovera 7653 compatible ink 8000 page-yield red,innovera 7970 compatible ink 800 page-yield red,0.8
sandisk 8gb microsdhc memory card,sandisk 16gb microsdhc memory card,0.8205128205128205
d-link airpremier n dual band poe access point,d-link dap-2555 airpremier n dual band poe access point,0.8070175438596491
pioneer cd-iu50v usb interface cable for ipod iphone tm,pioneer cd-iu200v usb interface cable for ipod iphone tm,0.8813559322033898
da-lite da-plex thru-the-wall rear projection screen - 81 x 108 video format,da-lite da-plex thru-the-wall rear projection screen - 90 x 120 video format,0.8117647058823529
da-lite da-plex thru-the-wall rear projection screen - 81 x 108 video format,da-lite da-plex thru-the-wall rear projection screen - 72 x 96 video format,0.8
da-lite da-plex thru-the-wall rear projection screen - 78 x 139 hdtv format,da-lite da-glas thru-the-wall rear projection screen - 78 x 139 hdtv format,0.8536585365853658
da-lite da-glas self trimming rear projection screen - 96 x 120 av format,da-lite 27673 da-glas self trimming rear projection screen - 96 x 96 av format,0.8192771084337349
