seq1,seq2,authors_authors_jac_qgm_3_qgm_3
"p. p. s. narayan, s. sudarshan, s. gogate, j. miller, abraham silberschatz, c. gupta, jerry baulier, m. wilder, henry f. korth, peter mcilroy, s. haldar, s. seshadri, philip bohannon, c. wei, a. khivesera, s. joshi, rajeev rastogi, m. nemeth","j. baulier, p. bohannon, s. gogate, c. gupta, s. haldar",0.2338308457711443
"j. baulier, p. bohannon, s. gogate, c. gupta, s. haldar","p. p. s. narayan, s. sudarshan, s. gogate, j. miller, abraham silberschatz, c. gupta, jerry baulier, m. wilder, henry f. korth, peter mcilroy, s. haldar, s. seshadri, philip bohannon, c. wei, a. khivesera, s. joshi, rajeev rastogi, m. nemeth",0.2338308457711443
"leonard j. seligman, michael j. carey","mike carey, len seligman",0.21153846153846154
"mike carey, len seligman","leonard j. seligman, michael j. carey",0.21153846153846154
sharad mehrotra,"sharad mehrotra, rajeev rastogi, henry f. korth, abraham silberschatz",0.2083333333333333
"sharad mehrotra, rajeev rastogi, henry f. korth, abraham silberschatz",sharad mehrotra,0.2083333333333333
"michele missikoff, anna formica, hans dietmar gr?ger","a. formica, h. d. groger, m. missikoff",0.2533333333333333
"a. formica, h. d. groger, m. missikoff","michele missikoff, anna formica, hans dietmar gr?ger",0.2533333333333333
arnon rosenthal,"arnon rosenthal, klaus dittrich, jim donahue, bill maimone",0.2419354838709677
"arnon rosenthal, klaus dittrich, jim donahue, bill maimone",arnon rosenthal,0.2419354838709677
joseph m. hellerstein,"joseph m. hellerstein, hans-peter kriegel, david comet, christos falsutsos, raghu ramakrishnan, paul brown",0.2075471698113208
"joseph m. hellerstein, hans-peter kriegel, david comet, christos falsutsos, raghu ramakrishnan, paul brown",joseph m. hellerstein,0.2075471698113208
"chengxiang zhai, marianne winslett, yuanyuan zhou, kevin chen-chuan chang, jiawei han, anhai doan","m. winslett, k. chang, a. doan, j. han, c. zhai, y. zhou",0.3
"m. winslett, k. chang, a. doan, j. han, c. zhai, y. zhou","chengxiang zhai, marianne winslett, yuanyuan zhou, kevin chen-chuan chang, jiawei han, anhai doan",0.3
"kaladhar voruganti, ren?e j. miller, kenneth a. ross, flip korn",kenneth a. ross,0.2058823529411765
kenneth a. ross,"kaladhar voruganti, ren?e j. miller, kenneth a. ross, flip korn",0.2058823529411765
jie wu,"jie wu, duncan j. watts",0.2222222222222222
"jie wu, duncan j. watts",jie wu,0.2222222222222222
"jeffrey f. naughton, minos n. garofalakis, kenneth a. ross",kenneth a. ross,0.2419354838709677
kenneth a. ross,"jeffrey f. naughton, minos n. garofalakis, kenneth a. ross",0.2419354838709677
"alexandros biliris, euthimios panagos","e. panagos, a. biliris",0.2916666666666667
"e. panagos, a. biliris","alexandros biliris, euthimios panagos",0.2916666666666667
kjetil n?rv?g,kjetil n&#248;rv&#229;g,0.3
kjetil n&#248;rv&#229;g,kjetil n?rv?g,0.3
