_id,idDBLP,idACM,title_title_jac_qgm_3_qgm_3,authors_authors_jac_qgm_3_qgm_3,venue_venue_jac_qgm_3_qgm_3,year_year_lev_sim,gold
50,conf/sigmod/VossenW99,304586,1.0,0.6097560975609756,0.15517241379310345,1.0,1
112,conf/sigmod/CruzJ99,304587,1.0,0.627906976744186,0.15517241379310345,1.0,1
173,conf/sigmod/BouguettayaBH99,304589,0.7936507936507936,0.7920792079207921,0.15517241379310345,1.0,1
262,conf/sigmod/BaruGLMPVC99,304590,1.0,0.75,0.15517241379310345,1.0,1
311,conf/sigmod/BrodskySCE99,304582,1.0,0.8133333333333334,0.15517241379310345,1.0,1
388,conf/sigmod/BonnetBCCCHKMMOSS99,304583,0.75,0.8531073446327684,0.15517241379310345,1.0,1
468,conf/sigmod/RoussopoulosKS99,304584,1.0,0.8125,0.15517241379310345,1.0,1
539,conf/sigmod/BohlenBD99,304585,1.0,0.5352112676056338,0.15517241379310345,1.0,1
565,journals/sigmod/JenningsNF98,306112,1.0,0.4696969696969697,0.6190476190476191,1.0,1
700,journals/sigmod/ReichB98,306115,1.0,0.5945945945945946,0.6190476190476191,1.0,1
761,journals/sigmod/BollKB98,306119,0.9041095890410958,0.8461538461538461,0.6190476190476191,1.0,1
830,journals/sigmod/BuchnerM98,306124,1.0,0.7608695652173914,0.6190476190476191,1.0,1
873,journals/sigmod/BichlerSZ98,306102,0.9620253164556962,1.0,0.6190476190476191,1.0,1
927,journals/sigmod/Danish98,306103,1.0,1.0,0.6190476190476191,1.0,1
1013,journals/sigmod/MeltzerC98,306105,1.0,0.4878048780487805,0.6190476190476191,1.0,1
1063,journals/sigmod/DogacDATKCD98,306109,1.0,0.8303571428571429,0.6190476190476191,1.0,1
1188,conf/sigmod/AltinelABFSZ99,304571,1.0,0.7142857142857143,0.15517241379310345,1.0,1
1265,conf/sigmod/LiuHBPT99,304570,0.9193548387096774,0.7543859649122807,0.15517241379310345,1.0,1
1314,conf/sigmod/BraumandlKK99,304573,1.0,1.0,0.15517241379310345,1.0,1
1453,conf/sigmod/WolfsonSXZC99,304572,1.0,0.7466666666666667,0.15517241379310345,1.0,1
1497,conf/sigmod/DoRD99,304250,1.0,1.0,0.15517241379310345,1.0,1
1628,conf/sigmod/BergstraesserBPS99,304248,1.0,0.9,0.15517241379310345,1.0,1
1714,conf/sigmod/TrisoliniLN99,304569,1.0,0.7377049180327869,0.15517241379310345,1.0,1
1780,conf/sigmod/JarkeQBLMS99,304568,1.0,0.8315789473684211,0.15517241379310345,1.0,1
1815,conf/sigmod/RundensteinerCLCZNJLW99,304579,1.0,0.4964539007092199,0.15517241379310345,1.0,1
1875,conf/sigmod/LiVCAHMWBCHIKSS99,304578,1.0,0.8994708994708994,0.15517241379310345,1.0,1
2009,conf/sigmod/AcharyaGPR99,304581,1.0,0.8552631578947368,0.15517241379310345,1.0,1
2055,conf/sigmod/ZhouLP99,304580,1.0,0.6764705882352942,0.15517241379310345,1.0,1
2132,conf/sigmod/RundensteinerKZWLLN99,304574,1.0,0.4642857142857143,0.15517241379310345,1.0,1
2136,conf/sigmod/BargaL99,304577,1.0,0.4878048780487805,0.15517241379310345,1.0,1
2137,conf/sigmod/AdelbergD99,304576,1.0,1.0,0.15517241379310345,1.0,1
2178,conf/sigmod/KrishnamurthyBN99,304235,0.8947368421052632,0.7288135593220338,0.15517241379310345,1.0,1
2217,conf/sigmod/Brown99,304236,1.0,1.0,0.15517241379310345,1.0,1
2278,conf/sigmod/Suciu99,304233,1.0,1.0,0.15517241379310345,1.0,1
2330,conf/sigmod/CareyCNVDRSM99,304234,1.0,0.4342105263157895,0.15517241379310345,1.0,1
2365,conf/sigmod/Chakrabarti99,304231,1.0,1.0,0.15517241379310345,1.0,1
2487,conf/sigmod/HinneburgK99,304232,1.0,1.0,0.15517241379310345,1.0,1
2568,conf/sigmod/Dullmann99,304229,1.0,0.5217391304347826,0.15517241379310345,1.0,1
2585,conf/sigmod/Mohan99,304230,1.0,1.0,0.15517241379310345,1.0,1
2703,conf/sigmod/Ojjeh99,304245,0.3908045977011495,1.0,0.15517241379310345,1.0,1
2786,conf/sigmod/Rajaraman99,304246,0.4823529411764706,1.0,0.15517241379310345,1.0,1
2823,conf/sigmod/Hammond99,304243,1.0,1.0,0.15517241379310345,1.0,1
2911,conf/sigmod/Team99,304244,0.935064935064935,0.36666666666666653,0.15517241379310345,1.0,1
3015,conf/sigmod/Kohler99,304241,1.0,1.0,0.15517241379310345,1.0,1
3117,conf/sigmod/Greer99,304242,0.8545454545454545,1.0,0.15517241379310345,1.0,1
3219,conf/sigmod/BaulierBGGHJKKMMNNRSSSWW99,304239,0.9268292682926829,0.2338308457711443,0.15517241379310345,1.0,1
3286,conf/sigmod/KanthRSB99,304240,1.0,0.5733333333333334,0.15517241379310345,1.0,1
3381,conf/sigmod/DeutschFS99,304220,1.0,0.9318181818181818,0.15517241379310345,1.0,1
